# COSI2 B0 scan
# time 2024-05-22 18:55:30.362520
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
247.030,157.770,225.800,-47.5120,-0.8540,2.0330,47.5650
236.370,157.770,225.800,-47.5080,-0.8570,2.0220,47.5590
225.700,157.770,225.800,-47.5050,-0.8630,2.0190,47.5540
215.030,157.770,225.800,-47.5130,-0.8590,2.0170,47.5560
204.370,157.770,225.800,-47.5110,-0.8580,2.0120,47.5640
193.700,168.430,225.800,-47.5240,-0.8670,2.0060,47.5700
204.370,168.430,225.800,-47.5310,-0.8690,2.0020,47.5780
215.030,168.430,225.800,-47.5140,-0.8620,2.0060,47.5640
225.700,168.430,225.800,-47.5080,-0.8630,2.0110,47.5580
236.370,168.430,225.800,-47.5030,-0.8610,2.0220,47.5540
247.030,168.430,225.800,-47.5010,-0.8560,2.0280,47.5520
257.700,168.430,225.800,-47.5050,-0.8520,2.0350,47.5570
268.370,168.430,225.800,-47.5020,-0.8490,2.0400,47.5540
279.030,168.430,225.800,-47.5120,-0.8430,2.0520,47.5640
289.700,168.430,225.800,-47.5210,-0.8430,2.0530,47.5760
289.700,179.100,225.800,-47.5440,-0.8320,2.0620,47.5960
279.030,179.100,225.800,-47.5340,-0.8330,2.0810,47.5870
268.370,179.100,225.800,-47.5170,-0.8330,2.0740,47.5730
257.700,179.100,225.800,-47.5050,-0.8430,2.0630,47.5570
247.030,179.100,225.800,-47.5010,-0.8450,2.0540,47.5530
236.370,179.100,225.800,-47.4950,-0.8490,2.0430,47.5450
225.700,179.100,225.800,-47.4960,-0.8560,2.0300,47.5440
215.030,179.100,225.800,-47.4980,-0.8520,2.0230,47.5450
225.700,189.770,225.800,-47.4960,-0.8590,2.0100,47.5450
236.370,189.770,225.800,-47.4880,-0.8520,2.0260,47.5380
247.030,189.770,225.800,-47.4800,-0.8590,2.0290,47.5330
257.700,189.770,225.800,-47.4830,-0.8460,2.0430,47.5350
236.370,211.100,236.470,-47.4910,-0.8470,2.0610,47.5430
247.030,211.100,236.470,-47.4630,-0.8510,2.0400,47.5170
289.700,200.430,236.470,-47.4680,-0.8480,2.0490,47.5190
279.030,200.430,236.470,-47.5080,-0.8370,2.1090,47.5620
268.370,200.430,236.470,-47.4970,-0.8330,2.0910,47.5510
257.700,200.430,236.470,-47.4880,-0.8400,2.0710,47.5410
247.030,200.430,236.470,-47.4850,-0.8430,2.0610,47.5350
236.370,200.430,236.470,-47.4800,-0.8500,2.0460,47.5340
225.700,200.430,236.470,-47.4790,-0.8500,2.0350,47.5280
215.030,200.430,236.470,-47.4810,-0.8450,2.0240,47.5310
193.700,189.770,236.470,-47.4820,-0.8530,2.0090,47.5340
204.370,189.770,236.470,-47.5200,-0.8630,1.9910,47.5660
215.030,189.770,236.470,-47.4990,-0.8610,1.9990,47.5490
225.700,189.770,236.470,-47.4980,-0.8580,2.0080,47.5480
236.370,189.770,236.470,-47.4930,-0.8570,2.0220,47.5440
247.030,189.770,236.470,-47.4920,-0.8500,2.0230,47.5420
257.700,189.770,236.470,-47.4920,-0.8550,2.0390,47.5420
268.370,189.770,236.470,-47.4960,-0.8430,2.0530,47.5480
279.030,189.770,236.470,-47.5020,-0.8450,2.0680,47.5540
289.700,189.770,236.470,-47.5100,-0.8340,2.0770,47.5630
311.030,179.100,236.470,-47.5250,-0.8330,2.0930,47.5780
300.370,179.100,236.470,-47.5900,-0.8270,2.0900,47.6430
289.700,179.100,236.470,-47.5580,-0.8290,2.0800,47.6120
279.030,179.100,236.470,-47.5400,-0.8350,2.0770,47.5920
268.370,179.100,236.470,-47.5230,-0.8410,2.0650,47.5730
257.700,179.100,236.470,-47.5130,-0.8440,2.0560,47.5640
247.030,179.100,236.470,-47.5040,-0.8430,2.0430,47.5580
236.370,179.100,236.470,-47.5000,-0.8440,2.0320,47.5500
225.700,179.100,236.470,-47.4960,-0.8580,2.0280,47.5460
215.030,179.100,236.470,-47.4950,-0.8540,2.0140,47.5460
204.370,179.100,236.470,-47.5060,-0.8530,2.0080,47.5540
193.700,179.100,236.470,-47.5150,-0.8570,2.0000,47.5600
183.030,168.430,236.470,-47.5240,-0.8630,1.9910,47.5750
193.700,168.430,236.470,-47.5420,-0.8630,1.9860,47.5930
204.370,168.430,236.470,-47.5290,-0.8610,1.9930,47.5780
215.030,168.430,236.470,-47.5190,-0.8570,1.9970,47.5690
225.700,168.430,236.470,-47.5140,-0.8530,2.0050,47.5640
236.370,168.430,236.470,-47.5100,-0.8550,2.0120,47.5600
247.030,168.430,236.470,-47.5100,-0.8580,2.0150,47.5570
257.700,168.430,236.470,-47.5070,-0.8510,2.0190,47.5600
268.370,168.430,236.470,-47.5140,-0.8490,2.0340,47.5650
279.030,168.430,236.470,-47.5220,-0.8460,2.0410,47.5730
289.700,168.430,236.470,-47.5300,-0.8440,2.0500,47.5790
300.370,168.430,236.470,-47.5470,-0.8340,2.0530,47.6010
311.030,157.770,236.470,-47.5650,-0.8310,2.0570,47.6180
300.370,157.770,236.470,-47.5900,-0.8180,2.0280,47.6410
289.700,157.770,236.470,-47.5650,-0.8300,2.0380,47.6200
279.030,157.770,236.470,-47.5550,-0.8340,2.0340,47.6060
268.370,157.770,236.470,-47.5450,-0.8400,2.0400,47.5960
257.700,157.770,236.470,-47.5290,-0.8460,2.0310,47.5800
247.030,157.770,236.470,-47.5230,-0.8480,2.0220,47.5750
236.370,157.770,236.470,-47.5120,-0.8510,2.0170,47.5630
225.700,157.770,236.470,-47.5150,-0.8520,2.0090,47.5650
215.030,157.770,236.470,-47.5170,-0.8610,2.0090,47.5670
204.370,157.770,236.470,-47.5170,-0.8550,1.9990,47.5610
193.700,157.770,236.470,-47.5260,-0.8560,1.9980,47.5750
172.370,147.100,236.470,-47.5360,-0.8570,1.9970,47.5880
183.030,147.100,236.470,-47.5560,-0.8730,1.9980,47.6050
193.700,147.100,236.470,-47.5490,-0.8700,1.9940,47.5990
204.370,147.100,236.470,-47.5430,-0.8580,1.9960,47.5930
215.030,147.100,236.470,-47.5310,-0.8630,1.9950,47.5760
225.700,147.100,236.470,-47.5170,-0.8570,1.9990,47.5710
236.370,147.100,236.470,-47.5170,-0.8620,2.0000,47.5680
247.030,147.100,236.470,-47.5170,-0.8500,2.0110,47.5680
257.700,147.100,236.470,-47.5150,-0.8530,2.0090,47.5650
268.370,147.100,236.470,-47.5220,-0.8470,2.0060,47.5730
279.030,147.100,236.470,-47.5310,-0.8510,2.0170,47.5830
289.700,147.100,236.470,-47.5400,-0.8370,2.0130,47.5940
300.370,147.100,236.470,-47.5560,-0.8360,2.0180,47.6040
311.030,147.100,236.470,-47.5670,-0.8250,2.0100,47.6190
321.700,136.430,236.470,-47.5890,-0.8210,2.0120,47.6390
311.030,136.430,236.470,-47.5990,-0.8050,1.9870,47.6480
300.370,136.430,236.470,-47.5820,-0.8150,1.9900,47.6300
289.700,136.430,236.470,-47.5630,-0.8230,1.9970,47.6070
279.030,136.430,236.470,-47.5490,-0.8330,2.0000,47.6000
268.370,136.430,236.470,-47.5390,-0.8430,2.0060,47.5890
257.700,136.430,236.470,-47.5360,-0.8450,2.0060,47.5860
247.030,136.430,236.470,-47.5260,-0.8480,1.9980,47.5760
236.370,136.430,236.470,-47.5150,-0.8580,2.0070,47.5670
225.700,136.430,236.470,-47.5180,-0.8640,2.0080,47.5700
215.030,136.430,236.470,-47.5200,-0.8610,2.0030,47.5680
204.370,136.430,236.470,-47.5270,-0.8620,2.0020,47.5800
193.700,136.430,236.470,-47.5310,-0.8680,2.0030,47.5840
183.030,136.430,236.470,-47.5410,-0.8660,2.0030,47.5920
183.030,125.770,236.470,-47.5480,-0.8700,1.9970,47.5960
193.700,125.770,236.470,-47.5510,-0.8750,2.0000,47.6010
204.370,125.770,236.470,-47.5340,-0.8720,1.9980,47.5860
215.030,125.770,236.470,-47.5250,-0.8740,2.0010,47.5800
225.700,125.770,236.470,-47.5260,-0.8640,1.9920,47.5760
236.370,125.770,236.470,-47.5190,-0.8640,2.0000,47.5680
247.030,125.770,236.470,-47.5200,-0.8600,2.0030,47.5690
