# COSI2 B0 scan
# time 2024-05-23 10:02:34.516565
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
289.700,115.100,236.470,-47.6590,-0.8600,1.9810,47.7080
279.030,115.100,236.470,-47.6560,-0.8740,1.9860,47.7060
268.370,115.100,236.470,-47.6500,-0.8890,1.9840,47.6990
257.700,115.100,236.470,-47.6490,-0.8960,1.9830,47.7020
247.030,115.100,236.470,-47.6550,-0.9110,1.9810,47.7060
236.370,115.100,236.470,-47.6500,-0.9250,1.9850,47.7010
225.700,115.100,236.470,-47.6610,-0.9350,1.9820,47.7140
215.030,115.100,236.470,-47.6640,-0.9460,1.9840,47.7190
204.370,115.100,236.470,-47.6690,-0.9550,1.9780,47.7220
193.700,115.100,236.470,-47.6840,-0.9720,1.9730,47.7350
183.030,104.430,236.470,-47.6990,-0.9880,1.9660,47.7450
193.700,104.430,236.470,-47.7220,-1.0210,1.9760,47.7720
204.370,104.430,236.470,-47.7040,-1.0020,1.9790,47.7550
215.030,104.430,236.470,-47.6890,-0.9860,1.9810,47.7400
225.700,104.430,236.470,-47.6760,-0.9730,1.9770,47.7290
236.370,104.430,236.470,-47.6690,-0.9550,1.9860,47.7200
247.030,104.430,236.470,-47.6630,-0.9420,1.9840,47.7150
257.700,104.430,236.470,-47.6520,-0.9300,1.9810,47.7050
268.370,104.430,236.470,-47.6470,-0.9190,1.9780,47.6940
279.030,104.430,236.470,-47.6450,-0.9040,1.9850,47.6950
289.700,104.430,236.470,-47.6470,-0.8900,1.9780,47.6940
300.370,104.430,236.470,-47.6460,-0.8810,1.9770,47.7010
300.370,93.770,236.470,-47.6530,-0.8620,1.9740,47.7020
289.700,93.770,236.470,-47.6540,-0.8680,1.9700,47.7030
279.030,93.770,236.470,-47.6490,-0.8840,1.9710,47.6970
268.370,93.770,236.470,-47.6410,-0.8950,1.9790,47.6930
257.700,93.770,236.470,-47.6440,-0.9030,1.9780,47.6950
247.030,93.770,236.470,-47.6490,-0.9160,1.9810,47.6990
