# COSI2 B0 scan
# time 2024-05-27 11:31:47.630159
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_small_magnet_x-y+z-_3s_delay
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
195.100,137.000,280.300,-47.6140,-0.8130,-2.2070,47.6720
215.100,137.000,280.300,-47.6010,-0.8090,-2.2100,47.6590
235.100,137.000,280.300,-47.5900,-0.8020,-2.2180,47.6520
255.100,137.000,280.300,-47.5950,-0.7980,-2.2290,47.6540
275.100,137.000,280.300,-47.6110,-0.7630,-2.2550,47.6740
295.100,137.000,280.300,-47.6270,-0.7210,-2.2970,47.6870
315.100,137.000,280.300,-47.6210,-0.6620,-2.3630,47.6800
335.100,157.000,280.300,-47.5650,-0.5890,-2.4150,47.6290
315.100,157.000,280.300,-47.4180,-0.2930,-2.4770,47.4890
295.100,157.000,280.300,-47.6550,-0.3710,-2.4430,47.7190
275.100,157.000,280.300,-47.7100,-0.5420,-2.3450,47.7670
255.100,157.000,280.300,-47.6780,-0.6630,-2.2690,47.7370
235.100,157.000,280.300,-47.6430,-0.7310,-2.2290,47.7010
215.100,157.000,280.300,-47.6130,-0.7770,-2.2080,47.6710
195.100,157.000,280.300,-47.5970,-0.7890,-2.2070,47.6500
175.100,177.000,280.300,-47.6050,-0.7980,-2.2010,47.6630
195.100,177.000,280.300,-47.6100,-0.7900,-2.2120,47.6700
215.100,177.000,280.300,-47.5860,-0.7870,-2.1890,47.6500
235.100,177.000,280.300,-47.5970,-0.7780,-2.1800,47.6530
255.100,177.000,280.300,-47.6240,-0.7580,-2.1760,47.6770
275.100,177.000,280.300,-47.6700,-0.7040,-2.1810,47.7220
295.100,177.000,280.300,-47.7420,-0.5990,-2.2020,47.7950
315.100,177.000,280.300,-47.8110,-0.3840,-2.2600,47.8660
315.100,197.000,280.300,-47.7590,-0.0430,-2.3400,47.8150
295.100,197.000,280.300,-47.7990,0.0750,-1.9870,47.8340
275.100,197.000,280.300,-47.8240,-0.3460,-2.0470,47.8690
255.100,197.000,280.300,-47.7410,-0.5810,-2.0810,47.7940
235.100,197.000,280.300,-47.6660,-0.7000,-2.1090,47.7190
215.100,197.000,280.300,-47.6060,-0.7580,-2.1310,47.6630
215.100,217.000,300.300,-47.5820,-0.7790,-2.1470,47.6380
235.100,217.000,300.300,-47.5690,-0.7820,-2.1240,47.6220
255.100,217.000,300.300,-47.6000,-0.7760,-2.0840,47.6510
275.100,217.000,300.300,-47.6760,-0.7470,-2.0220,47.7280
315.100,197.000,300.300,-47.8150,-0.6570,-1.9180,47.8550
295.100,197.000,300.300,-48.4950,0.2910,-1.8810,48.5330
275.100,197.000,300.300,-48.2150,-0.2810,-2.0410,48.2560
255.100,197.000,300.300,-47.9110,-0.6050,-2.0770,47.9620
235.100,197.000,300.300,-47.7390,-0.7230,-2.1070,47.7890
215.100,197.000,300.300,-47.6460,-0.7650,-2.1370,47.7000
175.100,177.000,300.300,-47.5970,-0.7740,-2.1570,47.6530
195.100,177.000,300.300,-47.6050,-0.7730,-2.2150,47.6620
215.100,177.000,300.300,-47.5990,-0.7760,-2.2070,47.6540
235.100,177.000,300.300,-47.6170,-0.7810,-2.1940,47.6740
255.100,177.000,300.300,-47.6580,-0.7710,-2.1960,47.7150
275.100,177.000,300.300,-47.7380,-0.7230,-2.2060,47.7960
295.100,177.000,300.300,-47.8980,-0.6160,-2.2590,47.9570
315.100,177.000,300.300,-48.1490,-0.3170,-2.4170,48.2100
335.100,157.000,300.300,-48.3950,0.4850,-2.8230,48.4790
315.100,157.000,300.300,-47.3050,0.1130,-3.1430,47.4180
295.100,157.000,300.300,-47.8580,-0.1850,-2.8930,47.9460
275.100,157.000,300.300,-47.8890,-0.4970,-2.5550,47.9600
255.100,157.000,300.300,-47.7930,-0.6690,-2.3620,47.8560
235.100,157.000,300.300,-47.7100,-0.7450,-2.2760,47.7700
215.100,157.000,300.300,-47.6460,-0.7790,-2.2360,47.7040
195.100,157.000,300.300,-47.6120,-0.7780,-2.2230,47.6700
175.100,137.000,300.300,-47.6050,-0.7880,-2.2210,47.6660
195.100,137.000,300.300,-47.6160,-0.7880,-2.2250,47.6740
215.100,137.000,300.300,-47.5970,-0.7990,-2.2300,47.6600
235.100,137.000,300.300,-47.5980,-0.8000,-2.2400,47.6620
255.100,137.000,300.300,-47.6140,-0.7950,-2.2680,47.6750
275.100,137.000,300.300,-47.6460,-0.7760,-2.3060,47.7090
295.100,137.000,300.300,-47.6800,-0.7300,-2.3870,47.7450
315.100,137.000,300.300,-47.6910,-0.6600,-2.5090,47.7600
335.100,117.000,300.300,-47.5870,-0.5700,-2.6450,47.6640
315.100,117.000,300.300,-47.4100,-0.7330,-2.4180,47.4790
295.100,117.000,300.300,-47.5210,-0.7280,-2.4590,47.5920
275.100,117.000,300.300,-47.5880,-0.7510,-2.4180,47.6570
255.100,117.000,300.300,-47.6020,-0.7800,-2.3560,47.6670
235.100,117.000,300.300,-47.5990,-0.8020,-2.3090,47.6630
215.100,117.000,300.300,-47.5880,-0.8160,-2.2720,47.6500
195.100,117.000,300.300,-47.5810,-0.8150,-2.2450,47.6430
195.100,97.000,300.300,-47.5890,-0.8110,-2.2270,47.6480
215.100,97.000,300.300,-47.5790,-0.8250,-2.2320,47.6410
235.100,97.000,300.300,-47.5640,-0.8290,-2.2450,47.6240
255.100,97.000,300.300,-47.5630,-0.8320,-2.2640,47.6270
275.100,97.000,300.300,-47.5640,-0.8290,-2.2940,47.6230
295.100,97.000,300.300,-47.5590,-0.8180,-2.3240,47.6230
295.100,77.000,300.300,-47.5450,-0.8080,-2.3560,47.6100
275.100,77.000,300.300,-47.5140,-0.8390,-2.3180,47.5780
255.100,77.000,300.300,-47.5280,-0.8460,-2.2970,47.5880
