Keithley Instruments: Cyclic Voltammetry

System Parameters
Date/Time,Wed Jul 20 16:58:16 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0

General Parameters

Source Parameters
Source Range, 2
# of Vertices, 3, 
Vertex 1, -0.3, V
Vertex 2, 0.7, V
Vertex 3, -0.3, V
Vertex 4, 4, V
Source Rate, 50, mV/sec
# of Cycles, 200

Measure Parameters
Current Range, 0.01, A
Sampling Interval, 100, points/cycle
nplc, 0.95

Calculated Parameters
0.213,3.24659e-06, 170.121
0.233,3.3658e-06, 170.521
0.253,3.63775e-06, 170.921
0.273,4.20399e-06, 171.321
0.293,5.27874e-06, 171.721
0.314,7.38539e-06, 172.141
0.334,1.10026e-05, 172.541
0.354,1.65757e-05, 172.941
0.374,2.49818e-05, 173.341
0.394,3.21977e-05, 173.741
0.415,2.69283e-05, 174.161
0.435,1.98111e-05, 174.561
0.455,1.57114e-05, 174.961
0.475,1.34166e-05, 175.361
0.495,1.21295e-05, 175.761
0.516,1.14292e-05, 176.181
0.536,1.14329e-05, 176.581
0.556,1.25542e-05, 176.981
0.576,1.48695e-05, 177.381
0.596,1.61864e-05, 177.781
0.617,1.56723e-05, 178.201
0.637,1.46665e-05, 178.601
0.657,1.37091e-05, 179.001
0.677,1.2923e-05, 179.401
0.697,1.22469e-05, 179.801
0.681,8.77306e-06, 180.221
0.661,7.37235e-06, 180.621
0.641,6.24917e-06, 181.021
0.621,5.1558e-06, 181.421
0.601,3.92087e-06, 181.821
0.58,2.49222e-06, 182.241
0.56,1.22003e-06, 182.641
0.54,3.241e-07, 183.041
0.52,-2.79397e-07, 183.441
0.5,-9.31323e-07, 183.841
0.479,-1.95578e-06, 184.261
0.459,-3.66755e-06, 184.661
0.439,-6.95698e-06, 185.061
0.419,-1.35303e-05, 185.461
0.399,-2.47508e-05, 185.861
0.378,-3.36636e-05, 186.281
0.358,-2.72822e-05, 186.681
0.338,-2.02805e-05, 187.081
0.318,-1.51917e-05, 187.481
0.298,-1.20793e-05, 187.881
0.277,-1.00862e-05, 188.301
0.257,-8.88482e-06, 188.701
0.237,-8.08388e-06, 189.101
0.217,-7.53999e-06, 189.501
0.197,-7.12462e-06, 189.901
0.176,-6.75023e-06, 190.321
0.156,-6.3926e-06, 190.721
0.136,-6.04242e-06, 191.121
0.116,-5.61401e-06, 191.521
0.096,-5.20423e-06, 191.921
0.075,-4.90062e-06, 192.341
0.055,-4.77955e-06, 192.741
0.035,-4.74043e-06, 193.141
0.015,-4.68828e-06, 193.541
-0.005,-4.4778e-06, 193.941
-0.026,-4.19654e-06, 194.361
-0.046,-3.96557e-06, 194.761
-0.066,-3.76627e-06, 195.161
-0.086,-3.58745e-06, 195.561
-0.106,-3.42727e-06, 195.961
-0.127,-3.32668e-06, 196.381
-0.147,-3.31923e-06, 196.781
-0.167,-3.29316e-06, 197.181
-0.187,-3.21865e-06, 197.581
-0.207,-3.14787e-06, 197.981
-0.228,-3.07895e-06, 198.401
-0.248,-3.01003e-06, 198.801
-0.268,-2.94484e-06, 199.201
-0.288,-2.90014e-06, 199.601
-0.291,-2.58163e-06, 200.001
-0.27,-2.27243e-06, 200.421
-0.25,-2.05822e-06, 200.821
-0.23,-1.85147e-06, 201.221
-0.21,-1.61491e-06, 201.621
-0.189,-1.28523e-06, 202.041
-0.169,-7.7486e-07, 202.441
-0.149,2.42144e-08, 202.841
-0.129,1.2368e-06, 203.241
-0.109,2.9169e-06, 203.641
-0.088,4.41074e-06, 204.061
-0.068,3.09013e-06, 204.461
-0.048,1.9148e-06, 204.861
-0.028,1.89431e-06, 205.261
-0.008,2.00234e-06, 205.661
0.013,2.19233e-06, 206.081
0.033,2.48291e-06, 206.481
0.053,2.79397e-06, 206.881
0.073,3.07895e-06, 207.281
0.093,3.30247e-06, 207.681
0.114,3.45334e-06, 208.101
0.134,3.59677e-06, 208.501
0.154,3.69735e-06, 208.901
0.174,3.75882e-06, 209.301
0.194,3.79793e-06, 209.701
0.215,3.85754e-06, 210.121
0.235,4.01586e-06, 210.521
0.255,4.34183e-06, 210.921
0.275,5.0161e-06, 211.321
0.295,6.32182e-06, 211.721
0.316,8.89786e-06, 212.141
0.336,1.32751e-05, 212.541
0.356,2.04388e-05, 212.941
0.376,3.11937e-05, 213.341
0.396,4.00823e-05, 213.741
0.417,3.21232e-05, 214.161
0.437,2.26721e-05, 214.561
0.457,1.76411e-05, 214.961
0.477,1.49403e-05, 215.361
0.497,1.3506e-05, 215.761
0.518,1.2802e-05, 216.181
0.538,1.29826e-05, 216.581
0.558,1.43349e-05, 216.981
0.578,1.66167e-05, 217.381
0.598,1.7589e-05, 217.781
0.619,1.67936e-05, 218.201
0.639,1.56499e-05, 218.601
0.659,1.46553e-05, 219.001
0.679,1.37873e-05, 219.401
0.7,1.35936e-05, 219.801
0.679,8.70228e-06, 220.221
0.659,7.22893e-06, 220.621
0.639,6.03683e-06, 221.021
0.619,4.85778e-06, 221.421
0.599,3.58e-06, 221.821
0.578,2.10479e-06, 222.241
0.558,8.32602e-07, 222.641
0.538,-9.49949e-08, 223.041
